strain,sex,id,age,pct_fat,hTG,BW,BWC,LW,LW_BW,GLU,GTT0,GTT30,GTT60,GTT120,Insulin,AUC_GTT2,AUC_GTT1,pct_ITT0,pct_ITT30,pct_ITT60,pct_ITT120,AUC_ITT2,AUC_ITT1,TG,TC,FC,CE,PL,BHB,FFA
BALB/cByJ,m,34,12,12.3,270,29.7,169,1.47,4.96,129,132,245,154,136,0.914,4500,3720,100,66.5,66.9,70.1,-4253,-1883,170,105,6.80,164,196,0.813,1.23
BALB/cByJ,m,35,12,10.4,408,27.3,125,1.51,5.54,112,142,217,188,143,0.490,4350,2940,100,72.3,95.2,96.4,-3418,-750,179,81.2,7.60,123,163,0.710,0.940
BALB/cJ,m,54,9,,58.0,23.7,,1.06,4.47,134,,,,,,,,,,,,,,58.1,63.9,,,,,0.570
BALB/cJ,m,55,9,,78.0,22.6,,0.930,4.12,90,,,,,,,,,,,,,,38.9,64.3,,,,,0.380
BALB/cJ,m,56,9,,69.8,24.4,,0.970,3.98,119,,,,,,,,,,,,,,34.9,63.4,,,,,0.450
BALB/cJ,m,57,9,,49.6,21.5,,0.900,4.19,121,,,,,,,,,,,,,,58.7,70.7,,,,,0.530
BALB/cJ,m,58,9,,63.6,26.1,,1.25,4.79,124,,,,,,,,,,,,,,32.9,87.2,,,,,0.340
C3H/HeJ,f,84,9,14.8,48.2,20.9,106,1.02,4.87,154,155,167,165,147,0.241,2400,1613,100,49.7,39.2,49.7,-8820,-3705,190,173,23.8,249,299,0.809,
C3H/HeJ,f,85,9,10.5,35.1,19.3,50.0,1.01,5.22,130,136,168,147,149,0.139,1949,1362,100,48.4,50.8,65.3,-5955,-2835,92.6,148,18.8,215,240,0.734,
C3H/HeJ,f,86,9,13.0,50.6,18.7,56.2,0.820,4.41,141,143,196,172,168,0.635,3771,2394,100,47.5,36.0,50.4,-8265,-3525,193,165,17.8,246,289,0.702,
C3H/HeJ,f,87,9,12.4,69.3,20.5,81.3,1.02,4.98,146,140,167,183,159,0.784,3347,1770,100,52.3,49.7,49.0,-7995,-3345,202,170,21.8,248,305,0.984,
C3H/HeJ,f,88,9,11.6,54.1,18.9,56.2,0.820,4.32,142,144,165,156,190,0.192,2462,926,100,45.0,50.0,55.0,-7350,-3360,210,169,28.2,235,287,0.889,
C3H/HeJ,m,79,13,15.3,60.0,26.3,97.2,1.23,4.66,160,170,204,184,148,0.286,4460,1230,100,84.0,49.7,56.4,-7275,-3075,161,115,16.8,164,250,0.528,0.760
C3H/HeJ,m,80,13,13.6,52.0,25.4,75.0,1.19,4.68,149,141,219,204,141,0.385,5175,3285,100,82.0,47.8,66.2,-7530,-3480,179,116,18.4,162,252,0.472,0.530
C3H/HeJ,m,81,13,14.3,69.6,27.1,91.7,1.20,4.42,157,157,218,191,172,0.348,3810,2340,100,99.0,33.1,51.6,-8745,-3315,116,117,16.8,168,248,0.873,0.390
C3H/HeJ,m,82,13,15.3,65.5,26.0,66.7,1.07,4.13,162,163,283,236,174,0.222,7215,2418,100,87.0,60.0,63.1,-6840,-3150,141,107,18.8,147,230,0.833,0.410
C3H/HeJ,m,83,13,13.0,51.4,25.3,88.9,1.14,4.49,175,170,237,224,190,0.275,5040,2820,100,88.0,36.7,38.3,-11220,-4470,98.4,117,20.0,162,243,0.746,0.430
C57BL/6ByJ,f,74,10,14.2,108,19.2,106,0.970,5.06,189,222,256,288,225,0.0260,4080,1830,100,72.4,57.7,77.6,-5314,-2280,138,59.2,8.80,84.2,140,0.817,
C57BL/6ByJ,f,75,10,12.6,118,18.6,100,0.900,4.83,192,226,237,272,188,0.179,4177,1020,100,61.0,67.3,91.2,-4644,-2640,130,73.2,12.4,102,155,1.00,
C57BL/6ByJ,f,76,10,12.0,131,19.5,169,0.910,4.68,168,190,205,257,176,0.217,3045,1455,100,68.7,53.1,113,-3965,-2415,116,63.2,8.40,91.5,146,0.853,
C57BL/6ByJ,f,77,10,13.6,135,15.7,93.8,0.800,5.11,189,230,199,253,192,0.253,4178,1958,100,67.6,58.8,85.1,-4762,-2355,95.6,53.2,8.80,74.1,121,0.762,
C57BL/6ByJ,f,78,10,12.6,126,22.0,106,1.13,5.14,184,208,264,331,245,0.375,8325,3525,100,66.9,58.8,81.9,-5335,-2580,146,67.6,10.0,96.2,154,0.758,
C57BL/6ByJ,m,69,13,13.9,78.5,30.8,105,1.57,5.11,159,193,279,201,145,0.282,1500,2700,100,92.8,88.8,69.6,-6010,-3078,87.2,76.8,13.6,106,186,0.837,0.920
C57BL/6ByJ,m,70,13,12.7,67.0,29.9,119,1.39,4.66,172,200,287,249,188,0.430,4455,3345,100,72.2,56.3,55.6,-5955,-2145,45.6,63.6,14.4,82.2,153,1.06,0.410
C57BL/6ByJ,m,71,13,13.9,102,27.3,91.9,1.26,4.63,182,191,219,204,203,0.267,1785,3858,100,63.0,36.4,57.8,-9060,-3570,60.0,73.2,13.6,99.5,168,0.714,0.260
C57BL/6ByJ,m,72,13,13.7,123,27.4,114,1.30,4.76,184,152,266,234,180,0.629,7950,4650,100,55.1,57.9,50.9,-10185,-4275,54.0,71.2,13.2,96.9,171,1.10,0.470
C57BL/6ByJ,m,73,13,14.1,157,22.6,86.5,1.01,4.47,172,185,320,231,170,0.460,5670,4740,100,73.0,56.6,83.0,-5205,-2325,49.2,68.4,12.8,92.9,166,0.964,0.200
C57BL/6J,f,10,12,15.8,156,18.5,33.3,0.790,4.28,196,179,311,243,195,0.161,7320,4820,100,49.3,32.4,44.6,-13260,-5400,45.6,68.4,7.60,102,129,0.770,0.440
C57BL/6J,f,11,9,16.2,184,18.7,93.3,0.810,4.34,210,,,,,,,,,,,,,,64.4,76.4,12.4,107,123,1.12,
C57BL/6J,f,12,9,14.2,203,17.6,120,0.840,4.77,228,,,,,,,,,,,,,,38.8,82.0,12.0,117,142,1.04,
C57BL/6J,f,13,9,11.7,63.1,18.0,113,0.800,4.44,251,,,,,,,,,,,,,,68.8,80.8,14.0,112,136,1.07,
C57BL/6J,f,14,9,19.4,151,17.1,0.0,0.650,3.81,168,,,,,,,,,,,,,,64.8,71.6,9.60,104,134,0.928,
C57BL/6J,f,15,9,17.1,104,17.9,33.3,0.760,4.22,146,,,,,,,,,,,,,,70.4,79.6,11.6,114,147,1.33,
C57BL/6J,f,6,12,11.5,88.7,19.7,108,0.960,4.86,180,174,271,266,192,0.115,7642,4312,100,54.8,44.6,56.5,-9895,-4065,98.0,74.0,8.80,109,140,1.02,0.530
C57BL/6J,f,7,12,17.8,164,18.3,23.1,0.790,4.33,169,151,244,254,185,0.261,8408,4312,100,57.2,48.1,55.1,-9285,-3855,67.2,73.2,8.00,109,140,1.17,0.320
C57BL/6J,f,8,12,16.9,236,19.1,56.4,0.790,4.13,145,132,329,216,169,0.239,10800,7170,100,43.0,36.7,65.2,-8850,-4200,50.8,62.8,4.00,98.2,113,1.48,0.740
C57BL/6J,f,9,12,13.4,150,19.4,53.8,0.830,4.28,190,191,323,296,218,0.0540,9495,5535,100,49.2,30.7,42.3,-12045,-4845,42.4,62.4,6.00,64.2,122,0.921,0.490
C57BL/6J,m,1,12,17.2,142,27.3,154,1.19,4.37,200,173,238,252,194,0.357,6142,3128,100,48.7,36.3,50.0,-13350,-5640,92.4,84.8,8.00,128,178,0.893,0.510
C57BL/6J,m,2,12,12.1,105,28.1,151,1.28,4.55,196,186,282,253,184,0.246,5835,3885,100,56.6,43.4,45.4,-11250,-4410,82.4,88.4,8.00,134,196,0.615,0.490
C57BL/6J,m,3,12,12.3,139,26.2,97.3,1.12,4.29,201,204,323,289,205,0.318,7425,4845,100,50.5,43.9,55.1,-10605,-4605,89.2,77.6,5.60,120,168,0.917,0.580
C57BL/6J,m,4,12,13.6,151,27.8,122,1.20,4.57,178,189,343,272,180,0.370,8085,5865,100,61.7,46.7,66.5,-7605,-3255,89.2,84.7,8.00,128,183,1.14,0.570
C57BL/6J,m,5,12,12.2,132,27.6,146,1.20,4.34,216,221,364,286,249,0.963,8055,5265,100,42.2,35.5,43.1,-13380,-5700,92.8,88.0,10.4,130,189,0.837,0.430
DBA/1LacJ,f,94,9,11.5,142,18.6,120,0.810,4.33,158,165,219,227,187,1.46,5070,2550,100,43.7,60.9,76.2,-6285,-3435,106,60.8,11.2,82.8,100,0.631,
DBA/1LacJ,f,95,9,14.0,87.9,18.8,53.3,0.810,4.31,146,157,252,274,223,0.606,10095,2175,100,55.9,52.2,62.5,-6255,-2775,141,68.0,12.4,92.9,120,0.690,
DBA/1LacJ,f,96,9,13.1,59.8,18.2,60.0,0.760,4.20,160,162,232,256,188,0.911,7110,3510,100,51.6,50.9,64.2,-7530,-3480,121,69.6,12.4,95.5,119,0.924,
DBA/1LacJ,f,97,9,10.4,70.7,16.9,13.3,0.810,4.81,176,206,240,246,208,0.365,2880,1620,100,44.8,44.1,72.4,-7245,-3615,114,63.2,13.2,83.5,101,1.15,
DBA/1LacJ,f,98,9,11.4,60.4,18.8,167,0.680,3.60,156,176,201,194,202,0.938,2340,1020,100,65.2,90.4,96.3,-2145,-1605,88.0,71.6,15.6,93.5,116,0.778,
DBA/1LacJ,m,89,13,19.9,60.2,25.5,170,1.09,4.26,167,157,235,201,136,0.348,3690,3000,100,67.8,72.3,74.0,-5295,-2445,172,80.0,14.0,110,173,0.659,0.500
DBA/1LacJ,m,90,13,14.0,60.1,24.0,121,1.10,4.58,172,176,242,191,158,0.467,2115,2205,100,56.8,56.8,50.3,-7995,-3285,98.0,74.4,12.0,104,165,0.813,0.490
DBA/1LacJ,m,91,13,24.9,59.6,25.9,115,1.10,4.24,166,150,236,212,177,0.637,6180,3510,100,50.8,50.8,60.1,-8940,-4050,130,70.4,12.0,97.5,149,0.623,0.250
DBA/1LacJ,m,92,13,14.2,43.0,23.2,84.8,1.01,4.34,164,168,230,197,154,0.513,2745,2295,100,69.4,74.4,75.0,-4515,-2085,101,80.8,12.4,114,168,0.682,0.230
DBA/1LacJ,m,93,13,19.4,53.7,24.6,139,1.07,4.36,180,174,252,180,172,0.460,2550,2430,100,50.3,54.1,60.5,-8775,-4035,126,76.4,12.6,106,164,0.694,0.130
NZB/BlNJ,f,122,13,11.9,76.1,21.9,119,1.03,4.70,138,140,243,190,138,0.0290,5280,3840,100,63.0,32.6,60.0,-7215,-2865,97.2,99.2,18.4,135,178,0.734,0.270
NZB/BlNJ,f,123,13,11.4,55.2,22.7,94.6,0.960,4.25,154,127,272,173,110,0.00500,5910,5040,100,56.7,58.3,61.1,-7815,-3465,59.6,135,28.4,178,232,0.774,0.590
NZB/BlNJ,f,124,13,11.2,72.3,21.9,114,0.980,4.45,145,129,329,274,141,0.00500,6910,3907,100,56.5,56.5,47.2,-7800,-3150,58.8,138,28.0,184,235,1.05,0.500
NZB/BlNJ,f,125,13,12.9,61.6,22.6,108,1.03,4.55,160,134,234,212,139,0.00500,6660,4170,100,55.1,49.2,48.1,-9600,-3900,60.0,115,20.0,158,212,0.536,0.540
