strain,Insulin
129X1/SvJ,-0.8072983157457857
AKR/J,0.7128297176882755
BALB/cByJ,0.28684974742052455
C3H/HeJ,-0.1253132470674279
C57BL/6ByJ,-0.2267246353380247
C57BL/6J,-0.2355883556495936
DBA/1LacJ,0.7083978575324912
NZB/BlNJ,-0.9840513266647178
PL/J,1.7550989472662857
SWR/J,-0.7277855305978885
